"mid","quelle","reference translation","System 1","System 2"
"1","Welsh AMs worried about 'looking like muppets'
","威尔士 AM 担心”像蠢蛋“
","威尔士AM担心“看起来像<mqm:issue xml:id=""x1"" type=""Mistranslation"" severity=""critical"" note="""" agent=""Yuying Ye"">木偶</mqm:issue>”
","威尔士<mqm:issue xml:id=""x31"" type=""Entity"" severity=""critical"" note="""" agent=""Yuying Ye"">小姐</mqm:issue>担心“看起来像<mqm:issue xml:id=""x3"" type=""Untranslated"" severity=""critical"" note="""" agent=""Yuying Ye""> muppetts</mqm:issue> ”
"
"2","There is consternation among some AMs at a suggestion their title should change to MWPs (Member of the Welsh Parliament).
","有人提议，AM 应该将头衔改为 MWP（威尔士议会议员），这让好多 AM 大为震惊。
","有提议说<mqm:issue xml:id=""x4"" type=""Untranslated"" severity=""critical"" note="""" agent=""Yuying Ye"">AMs</mqm:issue>应该改为MWP（威尔士议会议员），这让一些<mqm:issue xml:id=""x5"" type=""Untranslated"" severity=""critical"" note="""" agent=""Yuying Ye"">AMs</mqm:issue>感到震惊。
","有人建议将<mqm:issue xml:id=""x7"" type=""Mistranslation"" severity=""critical"" note="""" agent=""Yuying Ye"">其</mqm:issue>标题改为 MWPs (威尔士议会议员)<mqm:issue xml:id=""x6"" type=""Omission"" severity=""critical"" note="""" agent=""Yuying Ye""></mqm:issue>。
"
"3","It has arisen because of plans to change the name of the assembly to the Welsh Parliament.
","之所以有人这样提议，是因为计划要将议会名称改为“威尔士议会”。
","之所以出现这一情况，是因为计划将议会名称改为威尔士议会。
","<mqm:issue xml:id=""x8"" type=""Mistranslation"" severity=""critical"" note="""" agent=""Yuying Ye"">它</mqm:issue>之所以出现，是因为计划将议会的名称改为威尔士议会。
"
"4","AMs across the political spectrum are worried it could invite ridicule.
","政治界的 AM 担心这会惹人嘲笑。
","各政治派别的 AM 担心这会招致嘲笑 。
","<mqm:issue xml:id=""x9"" type=""Addition"" severity=""critical"" note="""" agent=""Yuying Ye"">整个</mqm:issue>政治领域的 AMS <mqm:issue xml:id=""x10"" type=""Addition"" severity=""critical"" note="""" agent=""Yuying Ye"">都</mqm:issue>担心<mqm:issue xml:id=""x11"" type=""Grammar"" severity=""critical"" note="""" agent=""Yuying Ye"">它</mqm:issue>可能会招致嘲笑。
"
"5","One Labour AM said his group was concerned ""it rhymes with Twp and Pwp.""
","一名工党 AM 表示，工党成员担心“这个名称与 Twp 和 Pwp 押韵”。
","<mqm:issue xml:id=""x12"" type=""Omission"" severity=""critical"" note="""" agent=""Yuying Ye""></mqm:issue>工党 AM 表示 ， 他的组织担心 “ 它与 Twp 和 Pwp 押韵 ” 。
","一位工党成员说，他的团队<mqm:issue xml:id=""x13"" type=""Mistranslation"" severity=""critical"" note="""" agent=""Yuying Ye"">关注</mqm:issue>的是“ TWP 和 PWP 的押韵”。
"
"6","For readers outside of Wales: In Welsh twp means daft and pwp means poo.
","（非威尔士读者须知：在威尔士语中，twp 的意思为“愚蠢”，pwp 意思为“大便”。
","对于<mqm:issue xml:id=""x14"" type=""Omission"" severity=""critical"" note="""" agent=""Yuying Ye""></mqm:issue>威尔士以外的读者:在威尔士，twp的意思是愚蠢，pwp的意思是便便。
","对<mqm:issue xml:id=""x15"" type=""Omission"" severity=""critical"" note="""" agent=""Yuying Ye""></mqm:issue>威尔士以外的读者来说：在威尔士 TWP 的意思是 <mqm:issue xml:id=""x16"" type=""Untranslated"" severity=""critical"" note="""" agent=""Yuying Ye"">daft</mqm:issue> 和 PWP 的意思是 <mqm:issue xml:id=""x17"" type=""Untranslated"" severity=""critical"" note="""" agent=""Yuying Ye"">po</mqm:issue> 。
"
"7","A Plaid AM said the group as a whole was ""not happy"" and has suggested alternatives.
","一名民族党 AM 表示，整个民族党人员都“不满意“，建议换成其他名称。
","一位<mqm:issue xml:id=""x32"" type=""Entity"" severity=""critical"" note="""" agent=""Yuying Ye"">普拉伊德</mqm:issue>AM表示，整个团队都“不高兴”，并提出了一些替代方案。
","<mqm:issue xml:id=""x33"" type=""Entity"" severity=""critical"" note="""" agent=""Yuying Ye"">该组织</mqm:issue>表示，整个<mqm:issue xml:id=""x20"" type=""Mistranslation"" severity=""critical"" note="""" agent=""Yuying Ye"">集团</mqm:issue>“并不快乐”，并提出了一些替代方案。
"
"8","A Welsh Conservative said his group was ""open minded"" about the name change, but noted it was a short verbal hop from MWP to Muppet.
","一名威尔士保守党人表示，保守党对这次更名“持开放态度”，但指出，发音上很容易将 MWP 发成 Muppet 的音。
","一位威尔士保守党称 ， 他们对改名持 “ 开放态度 ” ， 但指出这是从 MWP 到 Muppet 的<mqm:issue xml:id=""x21"" type=""Overly-literal"" severity=""critical"" note="""" agent=""Yuying Ye"">一次简短的语言跳跃</mqm:issue> 。
","威尔士保守党说，他的团体对这个名字的改变持“开放的态度”，但注意到这是从 MWP 到 Muppet 的<mqm:issue xml:id=""x22"" type=""Overly-literal"" severity=""critical"" note="""" agent=""Yuying Ye"">一个简短的口头跳跃</mqm:issue>。
"
"9","In this context The Welsh letter w is pronounced similarly to the Yorkshire English pronunciation of the letter u.
","在该语境下，威尔士字母 w 的发音类似于约克郡英语字母 u 的发音。
","在这种情况下，威尔士字母w的发音类似于约克郡英语字母u的发音。
","在这种情况下，威尔士字母<mqm:issue xml:id=""x23"" type=""Omission"" severity=""critical"" note="""" agent=""Yuying Ye""></mqm:issue>的发音类似于字母 u 的约克郡英语发音。
"
"10","The Assembly Commission, which is currently drafting legislation to introduce the name changes, said: ""The final decision on any descriptors of what Assembly Members are called will of course be a matter for the members themselves.""
","议会委员会 (Assembly Commission) 目前正在对名称变更起草法律，他说：“关于委员会成员最终决定选择用什么名字，这是他们自己的事情。”
","议会委员会(Assembly Commission)目前正在起草立法，以提出更名，该委员会说：""关于<mqm:issue xml:id=""x24"" type=""Unintelligible"" severity=""critical"" note="""" agent=""Yuying Ye"">被称为议会成员的任何描述符的</mqm:issue>最后决定当然应由成员自己作出。
","目前正在起草立法以引入更改名称的议会委员会说：""关于<mqm:issue xml:id=""x34"" type=""Entity"" severity=""critical"" note="""" agent=""Yuying Ye"">召集大会成员</mqm:issue>的<mqm:issue xml:id=""x26"" type=""Mistranslation"" severity=""critical"" note="""" agent=""Yuying Ye"">任何说明</mqm:issue>的最后决定，当然是成员本身的问题""。
"
"11","The Government of Wales Act 2017 gave the Welsh assembly the power to change its name.
","《2017 年威尔士政府法案》规定，威尔士议会有更名的权力。
","《2017年威尔士政府法》赋予威尔士议会更改名称的权力。
","《2017年威尔士政府法案》赋予威尔士议会改变其名称的权力。
"
"12","In June, the Commission published the results of a public consultation on the proposals which found broad support for calling the assembly a Welsh Parliament.
","6 月，委员会公布了关于这些名称提议的公众咨询结果，普遍支持使用”威尔士议会“这一名称。
","6月，该委员会公布了关于这些建议的公众协商结果，普遍支持将议会称为威尔士议会。
","6月，委员会公布了就提案进行公开协商的结果，<mqm:issue xml:id=""x27"" type=""Unintelligible"" severity=""critical"" note="""" agent=""Yuying Ye"">这些建议为将议会召集为威尔士议会提供了广泛的支持。</mqm:issue>
"
